% Model,ml_model-two_load_one - Copy (2).mph
% Version,COMSOL 6.2.0.339
% Date,"Mar 24 2026, 13:58"
% Table,Table 16 - Global Evaluation 8
% f (Hz),freq (Hz),Coil power (W),-mf.PCoil_2 (W),100*(-mf.PCoil_2)/mf.PCoil_1 (1)
8000000,8000000,1.320675052205248E-4,6.741410441132636E-6,5.104518654968084
9000000,9000000,7.186085124548979E-4,4.810002211864336E-5,6.693494619806952
10000000,10000000,0.015147145932665695,0.0012276533152908724,8.104849063633612
11000000,11000000,-2.0273664752079492E-4,4.0550343623926076E-5,-20.001486716784534
12000000,12000000,1.3766489115217193E-4,1.5419696948749424E-5,11.200892849074211
